domain,metric,category,value,detail
drugs,AP_b0,Random (null mean),0.3684487521456267,"CI~[0.299, 0.464]"
drugs,AP_b1,Random (null mean),0.5150163105534963,"CI~[0.438, 0.606]"
drugs,F1_CV_b0,Random (null mean),0.3572498933180833,"CI~[0.243, 0.479]"
drugs,F1_CV_b1,Random (null mean),0.4836861864063045,"CI~[0.383, 0.582]"
drugs,F1_Oracle_b0,Random (null mean),0.3581798524030116,"CI~[0.243, 0.480]"
drugs,F1_Oracle_b1,Random (null mean),0.4801405679697233,"CI~[0.379, 0.579]"
drugs,QWK_CV,Random (null mean),-0.0013558596811243,"CI~[-0.199, 0.199]"
drugs,QWK_Oracle,Random (null mean),-0.0015779322526303,"CI~[-0.197, 0.200]"
weapon,AP_b0,Random (null mean),0.3437760932222327,"CI~[0.283, 0.429]"
weapon,AP_b1,Random (null mean),0.4744183475269041,"CI~[0.409, 0.554]"
weapon,F1_CV_b0,Random (null mean),0.3547972481736378,"CI~[0.250, 0.464]"
weapon,F1_CV_b1,Random (null mean),0.4784052018871522,"CI~[0.391, 0.565]"
weapon,F1_Oracle_b0,Random (null mean),0.3542977690822707,"CI~[0.252, 0.464]"
weapon,F1_Oracle_b1,Random (null mean),0.4810116604859289,"CI~[0.395, 0.567]"
weapon,QWK_CV,Random (null mean),0.0013969707319632,"CI~[-0.165, 0.164]"
weapon,QWK_Oracle,Random (null mean),0.0012646301844876,"CI~[-0.165, 0.164]"
drugs,AP_b0,LLM-rep: GPT-Free,0.90419962613805,n=11 models
drugs,AP_b1,LLM-rep: GPT-Free,0.8714279518515545,n=11 models
drugs,F1_CV_b0,LLM-rep: GPT-Free,0.8550602453374164,n=11 models
drugs,F1_CV_b1,LLM-rep: GPT-Free,0.7736491278595161,n=11 models
drugs,F1_Oracle_b0,LLM-rep: GPT-Free,0.878467853258824,n=11 models
drugs,F1_Oracle_b1,LLM-rep: GPT-Free,0.809643513187356,n=11 models
drugs,QWK_CV,LLM-rep: GPT-Free,0.7436252416842136,n=11 models
drugs,QWK_Oracle,LLM-rep: GPT-Free,0.7867796660813461,n=11 models
drugs,AP_b0,LLM-rep: GPT-Law,0.8897908989706816,n=11 models
drugs,AP_b1,LLM-rep: GPT-Law,0.8611458953812993,n=11 models
drugs,F1_CV_b0,LLM-rep: GPT-Law,0.8527310898428926,n=11 models
drugs,F1_CV_b1,LLM-rep: GPT-Law,0.7636407663694373,n=11 models
drugs,F1_Oracle_b0,LLM-rep: GPT-Law,0.8665684214922311,n=11 models
drugs,F1_Oracle_b1,LLM-rep: GPT-Law,0.7984128852682126,n=11 models
drugs,QWK_CV,LLM-rep: GPT-Law,0.7412897371765034,n=11 models
drugs,QWK_Oracle,LLM-rep: GPT-Law,0.7734649667128086,n=11 models
drugs,AP_b0,LLM-rep: GPT-Schema,0.9358393920802913,n=11 models
drugs,AP_b1,LLM-rep: GPT-Schema,0.9003730155419738,n=11 models
drugs,F1_CV_b0,LLM-rep: GPT-Schema,0.842325151062928,n=11 models
drugs,F1_CV_b1,LLM-rep: GPT-Schema,0.81757866828894,n=11 models
drugs,F1_Oracle_b0,LLM-rep: GPT-Schema,0.868062576126584,n=11 models
drugs,F1_Oracle_b1,LLM-rep: GPT-Schema,0.8354702527583526,n=11 models
drugs,QWK_CV,LLM-rep: GPT-Schema,0.7829306073870967,n=11 models
drugs,QWK_Oracle,LLM-rep: GPT-Schema,0.8227865435653535,n=11 models
drugs,AP_b0,LLM-rep: Hybrid-Full,0.9204982834848611,n=11 models
drugs,AP_b1,LLM-rep: Hybrid-Full,0.8799320072568908,n=11 models
drugs,F1_CV_b0,LLM-rep: Hybrid-Full,0.8735771662503513,n=11 models
drugs,F1_CV_b1,LLM-rep: Hybrid-Full,0.789746632859361,n=11 models
drugs,F1_Oracle_b0,LLM-rep: Hybrid-Full,0.891741661267434,n=11 models
drugs,F1_Oracle_b1,LLM-rep: Hybrid-Full,0.8211585959919311,n=11 models
drugs,QWK_CV,LLM-rep: Hybrid-Full,0.7668976997501799,n=11 models
drugs,QWK_Oracle,LLM-rep: Hybrid-Full,0.8081492473544184,n=11 models
drugs,AP_b0,LLM-rep: Hybrid-Manual,0.9296820518101128,n=11 models
drugs,AP_b1,LLM-rep: Hybrid-Manual,0.8948652096236135,n=11 models
drugs,F1_CV_b0,LLM-rep: Hybrid-Manual,0.856621839877279,n=11 models
drugs,F1_CV_b1,LLM-rep: Hybrid-Manual,0.787620621009055,n=11 models
drugs,F1_Oracle_b0,LLM-rep: Hybrid-Manual,0.8798093826609158,n=11 models
drugs,F1_Oracle_b1,LLM-rep: Hybrid-Manual,0.8215932067654103,n=11 models
drugs,QWK_CV,LLM-rep: Hybrid-Manual,0.7504823608794279,n=11 models
drugs,QWK_Oracle,LLM-rep: Hybrid-Manual,0.8042567439490624,n=11 models
drugs,AP_b0,LLM-rep: Manual,0.956463560911078,n=11 models
drugs,AP_b1,LLM-rep: Manual,0.9168371734334076,n=11 models
drugs,F1_CV_b0,LLM-rep: Manual,0.8938648668260968,n=11 models
drugs,F1_CV_b1,LLM-rep: Manual,0.8352770459245331,n=11 models
drugs,F1_Oracle_b0,LLM-rep: Manual,0.9117322894104603,n=11 models
drugs,F1_Oracle_b1,LLM-rep: Manual,0.8492668433682511,n=11 models
drugs,QWK_CV,LLM-rep: Manual,0.8427273556351946,n=11 models
drugs,QWK_Oracle,LLM-rep: Manual,0.8585068406136919,n=11 models
drugs,AP_b0,LLM-rep: Raw-Facts,0.9029679483117495,n=11 models
drugs,AP_b1,LLM-rep: Raw-Facts,0.8685729424790186,n=11 models
drugs,F1_CV_b0,LLM-rep: Raw-Facts,0.8405048681851711,n=11 models
drugs,F1_CV_b1,LLM-rep: Raw-Facts,0.7904722752706661,n=11 models
drugs,F1_Oracle_b0,LLM-rep: Raw-Facts,0.8736599871433461,n=11 models
drugs,F1_Oracle_b1,LLM-rep: Raw-Facts,0.8145057315755153,n=11 models
drugs,QWK_CV,LLM-rep: Raw-Facts,0.7609018957962369,n=11 models
drugs,QWK_Oracle,LLM-rep: Raw-Facts,0.7952733458318175,n=11 models
weapon,AP_b0,LLM-rep: GPT-Free,0.7329191561687292,n=11 models
weapon,AP_b1,LLM-rep: GPT-Free,0.8641232037878352,n=11 models
weapon,F1_CV_b0,LLM-rep: GPT-Free,0.7022705509229495,n=11 models
weapon,F1_CV_b1,LLM-rep: GPT-Free,0.7848277236487099,n=11 models
weapon,F1_Oracle_b0,LLM-rep: GPT-Free,0.7359691315782968,n=11 models
weapon,F1_Oracle_b1,LLM-rep: GPT-Free,0.8064351228240337,n=11 models
weapon,QWK_CV,LLM-rep: GPT-Free,0.6700643953656781,n=11 models
weapon,QWK_Oracle,LLM-rep: GPT-Free,0.6945012036373713,n=11 models
weapon,AP_b0,LLM-rep: GPT-Law,0.7331210964723929,n=11 models
weapon,AP_b1,LLM-rep: GPT-Law,0.8468743250511248,n=11 models
weapon,F1_CV_b0,LLM-rep: GPT-Law,0.7124700867979038,n=11 models
weapon,F1_CV_b1,LLM-rep: GPT-Law,0.7927967910737876,n=11 models
weapon,F1_Oracle_b0,LLM-rep: GPT-Law,0.735579559706758,n=11 models
weapon,F1_Oracle_b1,LLM-rep: GPT-Law,0.8133599833301449,n=11 models
weapon,QWK_CV,LLM-rep: GPT-Law,0.6601155658862097,n=11 models
weapon,QWK_Oracle,LLM-rep: GPT-Law,0.691787271479445,n=11 models
weapon,AP_b0,LLM-rep: GPT-Schema,0.8069064847042653,n=11 models
weapon,AP_b1,LLM-rep: GPT-Schema,0.878552026135068,n=11 models
weapon,F1_CV_b0,LLM-rep: GPT-Schema,0.737016532358621,n=11 models
weapon,F1_CV_b1,LLM-rep: GPT-Schema,0.800612649131287,n=11 models
weapon,F1_Oracle_b0,LLM-rep: GPT-Schema,0.7594661183776504,n=11 models
weapon,F1_Oracle_b1,LLM-rep: GPT-Schema,0.8195927562131359,n=11 models
weapon,QWK_CV,LLM-rep: GPT-Schema,0.6882088977196267,n=11 models
weapon,QWK_Oracle,LLM-rep: GPT-Schema,0.726212117418786,n=11 models
weapon,AP_b0,LLM-rep: Hybrid-Full,0.7832198121124185,n=11 models
weapon,AP_b1,LLM-rep: Hybrid-Full,0.885263002726641,n=11 models
weapon,F1_CV_b0,LLM-rep: Hybrid-Full,0.7422274925127895,n=11 models
weapon,F1_CV_b1,LLM-rep: Hybrid-Full,0.8205221537342907,n=11 models
weapon,F1_Oracle_b0,LLM-rep: Hybrid-Full,0.7630982200127374,n=11 models
weapon,F1_Oracle_b1,LLM-rep: Hybrid-Full,0.834736053149675,n=11 models
weapon,QWK_CV,LLM-rep: Hybrid-Full,0.7068896882476545,n=11 models
weapon,QWK_Oracle,LLM-rep: Hybrid-Full,0.7400637318747294,n=11 models
weapon,AP_b0,LLM-rep: Hybrid-Manual,0.8029273144267073,n=11 models
weapon,AP_b1,LLM-rep: Hybrid-Manual,0.875546630230335,n=11 models
weapon,F1_CV_b0,LLM-rep: Hybrid-Manual,0.7289336973764552,n=11 models
weapon,F1_CV_b1,LLM-rep: Hybrid-Manual,0.8052226738310821,n=11 models
weapon,F1_Oracle_b0,LLM-rep: Hybrid-Manual,0.763275866452824,n=11 models
weapon,F1_Oracle_b1,LLM-rep: Hybrid-Manual,0.828090199941077,n=11 models
weapon,QWK_CV,LLM-rep: Hybrid-Manual,0.704320314355304,n=11 models
weapon,QWK_Oracle,LLM-rep: Hybrid-Manual,0.7335669682739966,n=11 models
weapon,AP_b0,LLM-rep: Manual,0.8270154614023242,n=11 models
weapon,AP_b1,LLM-rep: Manual,0.8978327080929124,n=11 models
weapon,F1_CV_b0,LLM-rep: Manual,0.7656189005507862,n=11 models
weapon,F1_CV_b1,LLM-rep: Manual,0.8280464393420044,n=11 models
weapon,F1_Oracle_b0,LLM-rep: Manual,0.7866286612113546,n=11 models
weapon,F1_Oracle_b1,LLM-rep: Manual,0.8457046390480688,n=11 models
weapon,QWK_CV,LLM-rep: Manual,0.7432802962089415,n=11 models
weapon,QWK_Oracle,LLM-rep: Manual,0.7629096602237609,n=11 models
weapon,AP_b0,LLM-rep: Raw-Facts,0.741298618298604,n=11 models
weapon,AP_b1,LLM-rep: Raw-Facts,0.8455833840857602,n=11 models
weapon,F1_CV_b0,LLM-rep: Raw-Facts,0.7212029693145903,n=11 models
weapon,F1_CV_b1,LLM-rep: Raw-Facts,0.7854065199574887,n=11 models
weapon,F1_Oracle_b0,LLM-rep: Raw-Facts,0.7444253898590797,n=11 models
weapon,F1_Oracle_b1,LLM-rep: Raw-Facts,0.8046633221079517,n=11 models
weapon,QWK_CV,LLM-rep: Raw-Facts,0.6614019137531978,n=11 models
weapon,QWK_Oracle,LLM-rep: Raw-Facts,0.6898929611698219,n=11 models
drugs,F1_Oracle_b0,Embedding-Text: OpenAI 3-large,0.7428571428571429,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b1,Embedding-Text: OpenAI 3-large,0.7254901960784313,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b0,Embedding-Text: OpenAI 3-large,0.7246376811594203,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b1,Embedding-Text: OpenAI 3-large,0.6666666666666666,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b0,Embedding-Text: OpenAI 3-large,0.7046482867529084,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b1,Embedding-Text: OpenAI 3-large,0.7875119283012266,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_Oracle,Embedding-Text: OpenAI 3-large,0.5978062157221207,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_CV,Embedding-Text: OpenAI 3-large,0.5813106796116505,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b0,Embedding-Text: OpenAI 3-large,0.5323741007194245,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b1,Embedding-Text: OpenAI 3-large,0.6403940886699507,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b0,Embedding-Text: OpenAI 3-large,0.4769230769230769,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b1,Embedding-Text: OpenAI 3-large,0.5837837837837838,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b0,Embedding-Text: OpenAI 3-large,0.4953098809066549,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b1,Embedding-Text: OpenAI 3-large,0.6001895624431918,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_Oracle,Embedding-Text: OpenAI 3-large,0.2928786359077232,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_CV,Embedding-Text: OpenAI 3-large,0.156731103136937,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b0,Embedding-Text: Gemini-embedding-001,0.8205128205128205,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b1,Embedding-Text: Gemini-embedding-001,0.8181818181818182,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b0,Embedding-Text: Gemini-embedding-001,0.7837837837837838,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b1,Embedding-Text: Gemini-embedding-001,0.7924528301886793,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b0,Embedding-Text: Gemini-embedding-001,0.861599426096489,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b1,Embedding-Text: Gemini-embedding-001,0.8963153213687491,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_Oracle,Embedding-Text: Gemini-embedding-001,0.7620538509705699,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_CV,Embedding-Text: Gemini-embedding-001,0.6671018276762403,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b0,Embedding-Text: Gemini-embedding-001,0.6379310344827587,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b1,Embedding-Text: Gemini-embedding-001,0.7236842105263158,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b0,Embedding-Text: Gemini-embedding-001,0.5932203389830508,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b1,Embedding-Text: Gemini-embedding-001,0.7074829931972789,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b0,Embedding-Text: Gemini-embedding-001,0.5759680216114704,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b1,Embedding-Text: Gemini-embedding-001,0.6886531858562311,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_Oracle,Embedding-Text: Gemini-embedding-001,0.4858184764991895,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_CV,Embedding-Text: Gemini-embedding-001,0.4152185089974293,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b0,Embedding-Text: mE5-large-instruct,0.8157894736842105,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b1,Embedding-Text: mE5-large-instruct,0.7959183673469388,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b0,Embedding-Text: mE5-large-instruct,0.7792207792207793,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b1,Embedding-Text: mE5-large-instruct,0.75,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b0,Embedding-Text: mE5-large-instruct,0.7882153133523488,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b1,Embedding-Text: mE5-large-instruct,0.8370719356690961,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_Oracle,Embedding-Text: mE5-large-instruct,0.7124026363091671,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
