verdict,text,part
שא_4242-06,כבוד הרשמת שושנה ליבוביץ,"בש""א  4242/06 - א'"
שא_4242-06,"בנק המזרחי המאוחד המאוחד בע""מ",נ  ג  ד
שא_4242-06,לתגובת המשיב תוך 10 ימים מעת המצאת החלטתי זו.,החלטה
שא_4242-06,"54678313ניתנה היום, א' בסיוון תשס""ו (28.5.2006).",5129371
שא_4242-06,ר ש מ ת,שושנה ליבוביץ 54678313-4242/06
שא_4242-06,העותק כפוף לשינויי עריכה וניסוח.   06042420_E01.doc   כש,_________________________
שא_4242-06,"מרכז מידע, טל' 02-6593666 ; אתר אינטרנט,   HYPERLINK ""http://www.court.gov.il/"" www.court.gov.il",_________________________
שא_4242-06,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,_________________________
שא_4242-06,"בשא 4242/06	 שבתאי בטאשווילי נ' בנק המזרחי המאוחד המאוחד בע""מ",_________________________
שא_4242-06,PAGE  \* MERGEFORMAT 1,_________________________
שא_4242-06,"נבו הוצאה לאור בע""מ  nevo.co.il   המאגר המשפטי הישראלי",_________________________
שא_4242-06,FILENAME \p  \* MERGEFORMAT Z:\-00000-ps-final-0000000\elyon\0-fainal\004-@\12\InPathElyon\06042420-e01.doc,_________________________
